,ORF,Ribo_Prints,RNA_Prints
0,YAL001C,27.66202323,10.22186392
1,YAL002W,22.38996704,10.63761032
2,YAL003W,1705.6688609999999,2932.087698
3,YAL004W,0.0,0.0
4,YAL005C,907.512885,1875.535423
5,YAL007C,137.6697916,164.82755569999998
6,YAL008W,11.954442199999999,0.0
7,YAL009W,77.77284225,26.08260222
8,YAL010C,14.4469676,41.18305613
9,YAL011W,15.20085622,46.04037612
10,YAL012W,557.0921387999999,673.8555838
11,YAL013W,84.96192851,41.75786069
12,YAL014C,65.04897651,13.24507144
13,YAL015C,44.60501247,12.71526858
14,YAL016C-A,0.0,0.0
15,YAL016C-B,0.0,0.0
16,YAL016W,123.43525459999998,122.62103870000001
17,YAL017W,64.86408101,53.72208784
18,YAL018C,0.0,0.0
19,YAL019W,57.79952985,17.97211107
20,YAL019W-A,6.2603526270000005,0.0
21,YAL020C,49.85789817,71.0633773
22,YAL021C,75.22881975,60.69340611
23,YAL022C,80.36939183,19.63748043
24,YAL023C,385.0116866,236.45938059999997
25,YAL024C,24.02126948,8.264334267999999
26,YAL025C,151.1049282,22.08950025
27,YAL026C,46.49096678,38.75843913
28,YAL026C-A,16.29406848,11.61211743
29,YAL027W,27.23970227,19.41262379
30,YAL028W,49.46743664,9.614569815
31,YAL029C,82.42230564,29.945378899999998
32,YAL030W,30.24068642,14.36753512
33,YAL031C,28.13456765,28.96162795
34,YAL031W-A,0.0,0.0
35,YAL032C,62.60352627,4.461497748
36,YAL033W,47.85212065,29.23050248
37,YAL034C,37.35041302,20.47547275
38,YAL034C-B,0.0,0.0
39,YAL034W-A,0.0,0.0
40,YAL035W,377.1742232,135.2238599
41,YAL036C,99.65804587,50.40286644
42,YAL037C-A,0.0,0.0
43,YAL037C-B,0.0,0.0
44,YAL037W,4.438309698,0.0
45,YAL038W,5512.734069,7739.140184999999
46,YAL039C,57.27063329,6.279144978
47,YAL040C,61.41826157,43.77028771
48,YAL041W,16.69427367,57.50374875
49,YAL042C-A,0.0,0.0
50,YAL042W,145.8240792,105.96057150000001
51,YAL043C,43.88618699,36.66828938
52,YAL044C,83.47136836,39.65775776
53,YAL044W-A,32.14775673,15.27359589
54,YAL045C,0.0,16.4598946
55,YAL046C,19.991042,28.49359906
56,YAL047C,3.8185136410000005,5.442597573
57,YAL047W-A,0.0,0.0
58,YAL048C,8.97033936,2.557117864
59,YAL049C,101.12877320000001,0.0
60,YAL051W,32.91464024,11.32403054
61,YAL053W,65.23862368,54.06151607
62,YAL054C,46.64576467,16.62126612
63,YAL055W,6.571640878999999,0.0
64,YAL056C-A,0.0,0.0
65,YAL056W,36.45358567,53.88233375
66,YAL058W,42.56541945,13.48206079
67,YAL059C-A,0.0,0.0
68,YAL059W,27.92176054,7.95947955
69,YAL060W,133.5432923,128.3699874
70,YAL061W,11.38245932,40.55907043
71,YAL062W,38.95634277,22.21007612
72,YAL063C,6.293476186,7.688748952999999
73,YAL063C-A,0.0,0.0
74,YAL064C-A,9.365881883,0.0
75,YAL064W,0.0,0.0
76,YAL064W-B,28.09764565,0.0
77,YAL065C,46.10337206,0.0
78,YAL066W,0.0,0.0
79,YAL067C,6.007409086,0.0
