ORF,RNA_Prints,Ribo_Prints
YAL001C,1407,154
YAL002W,1028,56
YAL003W,25629,4333
YAL005C,106706,23831
YAL007C,2289,547
YAL008W,418,54
YAL009W,372,50
YAL010C,321,63
YAL011W,945,93
YAL012W,14037,3252
YAL013W,1113,170
YAL014C,1085,55
YAL015C,735,77
YAL016W,3879,572
YAL017W,2603,234
YAL018C,0,0
YAL019W,2009,233
YAL020C,663,74
YAL021C,2289,390
YAL022C,1224,176
YAL023C,9753,1290
YAL024C,1300,103
YAL025C,1025,162
YAL026C,3473,325
YAL027W,297,34
YAL028W,112,3
YAL029C,3356,265
YAL030W,613,54
YAL031C,583,43
YAL032C,488,52
YAL033W,539,70
YAL034C,411,4
YAL034W-A,373,41
YAL035W,15894,2369
YAL036C,2279,405
YAL037C-A,2,0
YAL037W,77,7
YAL038W,162056,34058
YAL039C,1771,368
YAL040C,1391,61
YAL041W,1684,180
YAL042W,5156,1036
YAL043C,2325,278
YAL044C,7298,1560
YAL044W-A,754,90
YAL046C,1247,119
YAL047C,558,26
YAL048C,589,44
YAL049C,1181,124
YAL051W,958,104
YAL053W,2433,260
YAL054C,288,15
YAL055W,95,12
YAL056W,1138,66
YAL058W,767,99
YAL059W,1023,72
YAL060W,6405,653
YAL061W,404,68
YAL062W,1379,414
YAL063C,251,4
YAL063C-A,22,0
YAL064C-A,17,0
YAL064W,9,0
YAL064W-B,194,3
YAL065C,75,3
YAL067C,0,1
YAL067W-A,1,0
YAL068C,13,0
YAR002C-A,2328,536
YAR002W,886,102
YAR003W,986,98
YAR007C,2520,591
YAR008W,595,47
YAR014C,2805,243
YAR015W,11124,2793
YAR018C,619,51
YAR019C,479,42
YAR020C,43,2
YAR023C,61,1
YAR027W,503,62
YAR028W,135,23
YAR029W,22,0
YAR031W,92,29
YAR033W,166,31
YAR035C-A,0,0
YAR035W,616,34
YAR042W,2101,216
YAR050W,198,3
YAR064W,1,0
YAR066W,252,30
YAR068W,277,26
YAR071W,4627,1101
YBL001C,2127,369
YBL002W,6235,1273
YBL003C,6256,1569
YBL004W,8348,591
YBL005W,887,54
YBL006C,902,46
YBL007C,6013,848
YBL008W,1297,104
YBL008W-A,229,16
YBL009W,1466,180
YBL010C,410,34
YBL011W,2273,183
YBL013W,391,30
YBL014C,932,25
YBL015W,5152,1395
YBL016W,914,225
YBL017C,4524,612
YBL018C,741,86
YBL019W,479,50
YBL020W,1642,130
YBL021C,315,51
YBL022C,14299,1699
YBL023C,1948,234
YBL024W,3531,603
YBL025W,294,43
YBL026W,860,210
YBL027W,62011,8670
YBL028C,917,162
YBL029C-A,270,44
YBL029W,63,5
YBL030C,76353,19514
YBL031W,215,7
YBL032W,3004,545
YBL033C,1818,419
YBL034C,1429,115
YBL035C,1266,135
YBL036C,981,152
YBL037W,1715,263
YBL038W,1893,430
YBL039C,4564,785
YBL039W-B,88,4
YBL040C,734,188
YBL041W,2961,483
YBL042C,3185,323
YBL043W,353,30
YBL044W,10,0
YBL045C,14208,3265
YBL046W,742,125
YBL047C,8011,966
YBL049W,78,2
YBL050W,1773,234
YBL051C,1549,167
YBL052C,985,28
YBL054W,552,81
YBL055C,714,82
YBL056W,4093,426
YBL057C,795,123
YBL058W,2456,385
YBL059C-A,1199,198
YBL059W,460,57
YBL060W,451,42
YBL061C,1039,112
YBL063W,956,92
YBL064C,1832,461
YBL066C,1957,135
YBL067C,1560,98
YBL068W,923,130
YBL069W,894,172
YBL071C-B,99,0
YBL071W-A,641,37
YBL072C,58898,11104
YBL074C,256,11
YBL075C,580,11
YBL076C,17935,2395
YBL078C,202,61
YBL079W,4380,400
YBL080C,833,137
YBL081W,444,38
YBL082C,935,100
YBL084C,516,42
YBL085W,1648,179
YBL086C,326,37
YBL087C,16037,2327
YBL088C,1667,52
YBL089W,444,36
YBL090W,952,168
YBL091C,2621,617
YBL091C-A,136,40
YBL092W,23031,3431
YBL093C,471,83
YBL095W,687,65
YBL097W,949,131
YBL098W,1984,277
YBL099W,53560,7885
YBL100W-C,6,3
YBL101C,2337,185
YBL102W,1452,109
YBL103C,726,69
YBL104C,1850,236
YBL105C,2707,197
YBL106C,595,61
YBL107C,1244,160
YBL108C-A,18,0
YBL111C,1435,15
YBL112C,317,0
YBL113C,1419,10
YBR001C,972,90
YBR002C,1042,88
YBR003W,2279,330
YBR004C,407,35
YBR005W,457,136
YBR006W,412,106
YBR007C,671,62
YBR008C,486,7
YBR009C,19922,2976
YBR010W,7451,1354
YBR011C,18126,5127
YBR013C,629,5
YBR014C,584,134
YBR015C,3291,578
YBR016W,397,80
YBR017C,3111,480
YBR018C,12,0
YBR019C,17,0
YBR020W,86,0
YBR021W,899,151
YBR022W,361,76
YBR023C,4060,345
YBR024W,604,96
YBR025C,8098,1966
YBR026C,560,94
YBR028C,1079,93
YBR029C,7127,1231
YBR030W,909,42
YBR031W,63465,12901
YBR033W,321,21
YBR034C,2242,444
YBR035C,3430,716
YBR036C,3404,795
YBR037C,1097,211
YBR038W,3135,454
YBR039W,9048,1913
YBR040W,7,0
YBR041W,1288,197
YBR042C,891,136
YBR043C,827,50
YBR044C,868,94
YBR045C,169,13
YBR046C,411,73
YBR047W,32,6
YBR048W,33045,3609
YBR049C,3153,334
YBR050C,253,11
YBR052C,2940,507
YBR053C,1124,293
YBR054W,281,54
YBR055C,994,95
YBR056W,820,127
YBR056W-A,117,7
YBR057C,501,47
YBR058C,2041,352
YBR058C-A,528,11
YBR059C,2826,267
YBR060C,1050,67
YBR061C,909,153
YBR062C,378,75
YBR063C,330,0
YBR065C,505,46
YBR066C,259,59
YBR067C,373,140
YBR068C,483,79
YBR069C,220,10
YBR070C,545,49
YBR071W,700,102
YBR072C-A,0,0
YBR072W,381,95
YBR073W,3045,290
YBR074W,2173,320
YBR076W,1,1
YBR077C,834,75
YBR078W,22350,4015
YBR079C,12252,2394
YBR080C,3132,496
YBR081C,2008,193
YBR082C,6278,1567
YBR083W,1628,170
YBR084C-A,59255,7555
YBR084W,8579,1050
YBR085C-A,2829,278
YBR085W,103,7
YBR086C,4881,612
YBR087W,1514,202
YBR088C,3190,1012
YBR089C-A,2646,506
YBR090C,3002,594
YBR091C,703,110
YBR092C,1382,379
YBR093C,1187,288
YBR094W,1464,289
YBR095C,657,90
YBR096W,1048,226
YBR097W,1111,106
YBR098W,439,32
YBR101C,2899,590
YBR102C,1605,115
YBR103W,1230,193
YBR104W,751,125
YBR105C,733,81
YBR106W,9119,3037
YBR107C,214,18
YBR108W,883,97
YBR109C,3381,1027
YBR110W,1078,164
YBR111C,2722,351
YBR111W-A,442,60
YBR112C,2656,268
YBR114W,679,59
YBR115C,20472,2973
YBR117C,45,5
YBR118W,591538,137339
YBR119W,320,32
YBR120C,568,342
YBR121C,10166,1900
YBR122C,2536,192
YBR123C,915,113
YBR125C,1224,170
YBR126C,4149,1137
YBR126W-A,1552,306
YBR127C,15811,4010
YBR128C,274,7
YBR129C,512,46
YBR130C,936,88
YBR131W,481,50
YBR132C,761,99
YBR133C,2112,166
YBR135W,638,67
YBR136W,1959,124
YBR137W,609,97
YBR138C,205,39
YBR139W,1754,285
YBR140C,6514,375
YBR141C,263,47
YBR142W,2348,318
YBR143C,7183,1396
YBR145W,542,83
YBR146W,3276,356
YBR147W,391,55
YBR148W,85,5
YBR149W,2996,671
YBR150C,1034,57
YBR151W,1447,129
YBR152W,229,20
YBR153W,469,67
YBR154C,1557,442
YBR155W,1265,163
YBR156C,355,23
