ORF,WT_Ribo,WT_RNA,elp3_Ribo,elp3_RNA,ncs2_Ribo,ncs2_RNA,ncs6_Ribo,ncs6_RNA,uba4_Ribo,uba4_RNA
YAL008W,895,709,600,234,495,259,994,764,1052,760
YBR255W,350,638,149,186,128,232,324,672,340,753
YGR131W,31,165,17,66,11,50,38,171,38,152
YPL144W,579,721,209,258,219,248,463,681,469,672
YBR135W,749,380,257,91,234,77,569,367,637,405
YBR160W,1401,1426,658,298,609,367,1243,1403,1431,1332
YJL082W,729,326,459,112,302,122,685,309,827,352
YPL191C,293,315,134,105,127,104,282,349,328,284
YGL215W,761,428,367,231,323,229,729,452,800,454
YKL074C,688,1088,340,554,344,567,778,1162,913,1224
YJL077C,11,21,9,7,6,7,11,24,14,16
YKL096W-A,54647,15320,26730,5568,23618,5701,50317,16839,56783,19770
YIL124W,3272,1993,1868,788,1792,835,3481,1994,3965,2060
YPL039W,186,364,81,152,68,135,143,381,188,382
YGL141W,668,725,309,334,261,339,580,671,790,729
YJL179W,1041,978,531,249,438,299,941,888,1121,901
YDR316W-A,0,0,0,0,0,0,0,0,0,0
YDR316W-B,0,0,0,0,0,0,0,0,0,0
YOR009W,42,104,10,32,6,22,11,115,15,109
YKL029C,5552,2687,2212,462,1707,480,4683,2006,4959,2602
YPL166W,208,99,114,54,97,43,228,108,239,79
YLR220W,1519,1476,971,455,781,418,1685,1441,1782,1630
YHR025W,4921,1618,2459,493,2128,443,4731,1658,5488,1846
YOL034W,312,803,127,281,113,251,285,714,352,841
YBL008W,520,594,263,161,220,181,502,586,538,671
YIL062C,3221,2358,1754,586,1456,597,2911,2352,3220,2538
YOL116W,378,472,184,155,154,167,356,428,407,454
YDR196C,874,1413,340,502,342,643,673,1311,837,1363
YNL255C,7751,4692,3404,788,2683,833,6537,4753,7059,5233
YNR032W,326,803,168,258,163,289,326,814,434,812
YNR045W,180,198,72,71,64,86,144,205,207,229
YML105C,2022,1499,1037,419,1146,509,2400,1669,2550,1768
YNL288W,942,517,375,196,328,195,771,550,931,558
YIL004C,722,625,322,208,238,227,517,562,502,598
YNR018W,2140,897,976,259,855,275,1916,979,2363,1089
YNL003C,405,829,166,287,159,329,337,745,355,744
YFR047C,1543,1932,884,531,698,478,1557,1989,1581,2084
YHR078W,249,659,129,241,119,273,253,678,348,721
YJR115W,34,35,15,16,11,19,35,42,30,46
YLR355C,56658,10256,24146,2921,19749,2819,45892,10483,49479,11900
YGR099W,339,843,185,320,130,356,315,780,379,734
YLR300W,12571,4268,6476,1706,5139,1723,13267,4920,15428,5388
YBL003C,9698,10896,4658,3451,3628,3365,7984,9588,8731,9616
YJR140C,630,764,326,259,238,290,629,803,753,752
YOR033C,370,1081,165,365,112,384,349,930,412,1011
YOR062C,174,410,148,157,101,127,211,442,204,456
YBR043C,192,1179,107,466,103,536,171,1133,235,1183
YHR112C,768,624,278,215,287,206,564,610,581,620
YLR011W,266,349,84,61,77,71,150,290,206,300
YIL044C,1539,905,925,202,734,183,1569,913,1654,911
YKR103W,16,196,7,96,8,95,21,201,34,214
YKR084C,2210,1346,1191,455,1067,470,2448,1413,2693,1411
YER121W,59,93,22,21,33,33,59,91,70,88
YCR046C,1028,716,469,122,347,146,760,679,870,782
YNL144C,265,181,111,100,74,97,192,219,223,185
YKL204W,2297,611,897,134,1007,168,2009,776,2285,796
YOR266W,257,483,115,200,81,198,259,587,270,527
YDR393W,278,625,127,141,123,172,286,648,321,613
YGR186W,2854,2306,1280,534,1106,633,2342,2488,2716,2613
YPR194C,38,322,8,51,7,58,12,90,18,63
YGR019W,1254,1476,546,335,394,375,985,1431,1179,1414
YNL208W,8717,4047,3201,623,2638,686,5940,3055,7027,3831
YLL057C,20,121,11,35,9,38,20,100,22,86
YOL097W-A,6,43,0,16,1,15,0,31,1,22
YNL277W,287,313,78,58,41,41,86,173,95,190
YMR040W,42,283,23,116,15,109,30,266,43,271
YDR077W,27210,4189,14702,2449,13217,2454,30725,5178,32906,6056
YMR266W,2043,1401,519,429,472,421,1225,956,1513,979
YKR064W,337,623,178,218,131,245,330,601,391,567
YPL089C,369,391,128,174,135,205,288,439,320,481
YGR277C,898,1140,478,445,451,493,987,1335,1138,1269
YDL139C,245,395,124,73,90,80,203,475,237,559
YDR246W,607,349,324,93,313,86,655,406,801,462
YOR288C,838,354,425,107,348,131,802,373,992,356
YCR028C,418,474,196,202,184,197,422,454,518,453
YML054C,39,218,26,105,37,115,71,388,92,363
YPR070W,506,646,173,172,163,187,456,583,479,627
YOR141C,1402,784,786,227,559,241,1484,787,1655,839
YPL280W,0,0,0,0,0,0,0,0,0,0
YBL106C,206,358,94,172,42,141,139,307,160,402
YGL044C,920,788,464,221,428,260,977,823,987,900
YER107C,1347,1190,550,350,462,376,1150,1101,1238,1299
YBR038W,2028,583,940,212,779,221,2027,607,2235,608
YEL047C,5116,2449,2112,692,1942,697,4057,1981,4529,1911
YPR016C,4088,1992,2677,442,2078,461,4738,2058,5209,2233
YOR208W,161,237,102,126,99,133,168,291,224,297
YDL055C,53694,13849,22471,5805,19230,5476,43382,12196,47040,12184
YML009C,818,486,316,120,255,128,528,368,581,449
YML072C,8394,2744,3022,688,2716,699,8688,2893,9649,3039
YDR142C,199,352,139,133,92,154,208,335,248,364
YFL044C,845,319,563,146,466,157,1020,341,1165,325
YKL019W,625,597,340,173,278,182,661,577,759,628
YJL130C,28841,3834,12144,1463,10710,1492,28458,3562,27735,4232
YBL085W,1349,938,618,278,504,279,1146,980,1404,993
YFL011W,11,25,3,14,2,11,4,29,5,28
YHR212W-A,0,0,0,0,0,0,0,0,0,0
YDR082W,66,691,34,256,22,269,80,597,68,595
YDR348C,1723,1297,802,405,642,396,1425,1289,1575,1362
YKL182W,48056,6408,18508,2645,14672,2747,41947,5313,45948,5863
YDR333C,1095,1095,600,413,543,491,1331,1158,1408,1197
YKL018C-A,283,547,193,80,162,94,283,623,311,730
YPL027W,2,6,7,3,3,3,2,27,6,14
YIR012W,2450,1962,1452,813,1309,896,3105,2323,3311,2691
YLR363C,716,494,333,171,276,161,664,463,734,409
YDR179C,295,360,121,130,99,113,264,381,282,343
YLR431C,98,285,62,72,48,72,104,195,137,278
YKR046C,537,336,277,152,231,147,559,427,651,443
YJR005W,635,691,324,251,231,224,581,640,681,585
YJL116C,106,46,52,20,36,37,103,106,106,87
YER030W,1794,1518,851,382,821,513,1532,1391,1681,1509
YHR041C,587,552,321,124,243,95,511,552,639,669
YJR072C,2038,2725,1061,742,833,767,1877,2964,2215,3174
YDR515W,739,369,422,153,378,157,812,425,1009,362
YKR039W,188,265,153,103,123,91,359,431,359,406
YGL003C,334,594,179,233,165,235,340,591,362,606
YPL009C,3036,2217,1519,397,1340,479,3055,2356,3404,2670
YDR268W,526,727,192,236,163,280,350,607,418,669
YGL192W,5,24,2,8,0,2,5,15,6,10
YDL117W,855,862,374,266,286,304,738,840,968,840
YMR131C,4047,2933,1632,971,1249,942,3263,2752,3742,2952
YMR293C,207,393,99,169,67,165,154,401,193,390
YJL214W,61,42,27,17,12,22,53,39,62,41
YIL105C,1032,687,437,272,335,321,834,772,1135,757
YML126C,13492,1655,6649,758,6151,857,13926,1963,15937,2128
YLR189C,893,1333,339,477,333,532,799,1240,887,1220
YIL150C,393,170,193,53,138,60,375,199,452,217
YGL250W,200,284,64,99,104,136,156,269,173,305
YBR212W,1836,315,862,134,776,134,1887,328,1960,385
YJR109C,2603,622,4676,554,2567,447,6688,943,6884,1079
YLR254C,302,800,139,173,111,243,292,782,325,818
YGR085C,8775,2074,3756,403,3066,428,7146,2024,7141,2149
YPL105C,1984,1642,936,472,784,508,1772,1841,1967,1952
YGR145W,2005,1405,1081,320,847,350,2251,1602,2582,1854
YGR110W,41,42,30,17,19,17,57,82,60,52
YGL154C,134,314,53,58,33,88,116,330,127,332
YOR010C,26,94,13,36,14,54,23,109,37,121
YMR322C,1,0,0,0,0,0,0,1,0,2
YKL099C,1205,1497,496,556,427,603,1058,1521,1117,1609
YDR315C,121,247,73,100,72,111,134,197,163,219
YLR394W,10,238,4,69,5,83,10,323,17,233
YNL104C,10169,3483,5715,1099,4638,1077,12404,4348,13627,4718
YNL151C,1313,1071,613,213,457,216,1216,943,1331,1115
YNR066C,77,73,42,49,35,34,99,63,128,70
YKL052C,403,1296,232,306,231,311,502,1270,545,1419
YIL045W,427,403,212,153,180,163,358,417,462,408
YMR232W,57,154,18,39,26,39,51,163,78,147
YNL083W,309,300,113,89,119,101,261,305,267,309
YGR038C-A,3,7,0,2,0,2,0,4,0,4
YGR038C-B,3,7,0,2,0,2,0,4,0,4
YMR238W,1361,1268,649,356,493,318,1180,1234,1365,1292
YER168C,1200,1057,483,395,424,385,1099,1044,1187,1068
YPL265W,4291,3695,1223,1010,1217,1142,2995,2736,3380,3005
YOR227W,630,773,312,263,313,310,682,733,790,806
YOR081C,704,343,270,104,298,107,712,356,819,356
YEL026W,9423,3339,4154,377,3931,388,8105,3304,8578,3632
YDR021W,483,668,263,239,224,228,628,911,659,970
YGL063W,37,349,17,62,18,66,43,335,40,414
YPL212C,2292,1547,988,375,803,380,1882,1480,2124,1589
YOL157C,8,49,5,15,2,17,6,33,5,31
YPR095C,457,827,234,300,178,339,404,790,520,844
YOR310C,11211,6212,4862,1015,4223,1144,9950,5890,10737,6334
YDR188W,6339,3302,4293,956,3419,1001,7308,3363,8304,3859
YAL027W,271,495,130,178,110,195,273,452,323,456
YGL236C,303,282,113,62,100,76,221,248,242,272
YHR133C,2397,2181,1247,1184,1171,1086,2551,2421,2796,2475
YDR541C,177,292,145,159,133,156,265,424,366,450
YIL090W,547,692,263,247,228,233,608,623,648,684
YBR183W,332,972,225,542,126,544,278,986,357,965
YOL048C,205,567,134,222,108,199,283,663,326,634
YML039W,1,5,3,1,0,1,1,3,0,0
YCR007C,80,252,33,70,30,68,71,238,72,215
