ORF,RNA_Prints,Ribo_Prints
YBR177C,4728.0,815.0
YIL140W,1869.0,541.0
YLR268W,1707.0,566.0
YOL163W,15.0,11.0
YJL155C,2735.0,168.0
YLL062C,377.0,147.0
YHR067W,214.0,173.0
YPR023C,7331.0,607.0
YAL008W,598.0,142.0
YNR028W,1074.0,390.0
YMR111C,895.0,145.0
YBR255W,515.0,236.0
YFR027W,1646.0,62.0
YBR128C,87.0,56.0
YOL115W,8726.0,418.0
YDL214C,58.0,57.0
YOR030W,277.0,224.0
YNL300W,1171.0,754.0
YAL056W,977.0,555.0
YGR148C,24364.0,4915.0
YJR122W,512.0,309.0
YLR152C,315.0,268.0
YDR459C,327.0,270.0
YIL034C,4822.0,621.0
YLR144C,1002.0,487.0
YNL003C,458.0,346.0
YBR111W-A,250.0,58.0
YJR084W,616.0,277.0
YBR135W,648.0,235.0
YBR004C,572.0,306.0
YBR160W,1443.0,398.0
YPR081C,690.0,155.0
YLR313C,217.0,154.0
YDL238C,273.0,122.0
YJL082W,803.0,262.0
YHR007C,33372.0,5351.0
YIR004W,1291.0,470.0
YPR117W,555.0,464.0
YPL191C,663.0,118.0
YKL190W,5265.0,535.0
YGL084C,5593.0,838.0
YDR312W,1828.0,266.0
YLR348C,3082.0,1142.0
YBR248C,6624.0,939.0
YNR067C,6524.0,2075.0
YNL152W,1293.0,295.0
YLR382C,685.0,413.0
YJL077C,42.0,41.0
YKL063C,767.0,198.0
YFL045C,8489.0,5550.0
YOR230W,61723.0,2848.0
YFL010C,1425.0,907.0
YDR141C,4312.0,706.0
YJL131C,375.0,103.0
YDL170W,1361.0,200.0
YBR117C,112.0,89.0
YGL135W,1098.0,595.0
YJR044C,855.0,342.0
YJR011C,223.0,138.0
YPL039W,575.0,156.0
YPL249C-A,64877.0,5176.0
YKL048C,890.0,216.0
YDR083W,1614.0,495.0
YMR009W,739.0,184.0
YOR123C,3179.0,548.0
YIR013C,10.0,8.0
YJL122W,1093.0,397.0
YKL183W,2529.0,443.0
YLR189C,987.0,608.0
YDR363W,304.0,166.0
YFL021W,1541.0,343.0
YPL041C,131.0,96.0
YLR362W,548.0,288.0
YPL092W,843.0,536.0
YOR377W,1295.0,442.0
YMR283C,713.0,198.0
YOR074C,146653.0,346.0
YPL024W,326.0,171.0
YKL134C,963.0,314.0
YPL165C,99.0,98.0
YGR144W,56.0,36.0
YDR090C,3001.0,201.0
YIL108W,1996.0,455.0
YLR307C-A,4.0,1.0
YKL052C,1096.0,302.0
YLR278C,1289.0,386.0
YBR273C,1630.0,345.0
YFR005C,1025.0,546.0
YER093C-A,104.0,49.0
YAL026C,3908.0,874.0
YOL034W,514.0,279.0
YJR135W-A,1061.0,241.0
YFL017W-A,832.0,120.0
YFR050C,4034.0,1254.0
YOR147W,545.0,307.0
YBL008W,1063.0,347.0
YLR079W,781.0,302.0
YLR447C,17095.0,2567.0
YGL237C,381.0,120.0
YGR126W,417.0,25.0
YIL062C,7356.0,793.0
YNL295W,15543.0,251.0
YAR035W,297.0,144.0
YNR032C-A,237.0,99.0
YPL059W,1505.0,442.0
YOL156W,25.0,24.0
YAR019C,385.0,240.0
YDR299W,2337.0,495.0
YOL116W,391.0,227.0
YJL140W,3191.0,712.0
YBR182C,130.0,62.0
YGL257C,2256.0,737.0
YDR196C,980.0,286.0
YMR175W,24.0,2.0
YBR202W,2873.0,704.0
YHR101C,485.0,115.0
YNL239W,3847.0,1289.0
YDR410C,1047.0,569.0
YBR280C,467.0,155.0
YGR020C,3315.0,1078.0
YNR045W,579.0,188.0
YPL143W,16144.0,7459.0
YML105C,1528.0,503.0
YNL143C,16.0,15.0
YLL040C,7021.0,698.0
YLR314C,13964.0,1434.0
YIL091C,4460.0,648.0
YCL032W,2176.0,193.0
YML092C,2520.0,1080.0
YLR357W,1691.0,446.0
YPL104W,703.0,319.0
YLR244C,27972.0,2020.0
YAL046C,2712.0,205.0
YDR198C,373.0,222.0
YAL039C,583.0,272.0
YNR018W,4862.0,709.0
YNL168C,1066.0,586.0
YDL185W,85439.0,7207.0
YFR047C,1954.0,528.0
YBR215W,1248.0,300.0
YGL092W,3711.0,1240.0
YLR403W,3862.0,563.0
YNL147W,758.0,246.0
YBR159W,4099.0,1630.0
YDR364C,3477.0,400.0
YML127W,3217.0,748.0
YCL030C,25694.0,2578.0
YHR078W,979.0,592.0
YGR084C,773.0,337.0
YDR286C,148.0,85.0
YFR018C,1249.0,651.0
YCR002C,1668.0,695.0
YHR141C,6976.0,3398.0
YER042W,622.0,344.0
YJR110W,414.0,261.0
YOR163W,1273.0,440.0
YGL157W,8998.0,574.0
YNL162W-A,87.0,38.0
YLR233C,297.0,254.0
YGR099W,1036.0,450.0
YBL015W,4146.0,293.0
YNL067W,5612.0,3280.0
YOL090W,2246.0,905.0
YLR300W,17175.0,3623.0
YNL145W,1689.0,436.0
YBL003C,6017.0,4703.0
YJR140C,3083.0,424.0
YGR146C,1040.0,234.0
YOR033C,646.0,434.0
YOR062C,1027.0,88.0
YJR095W,24.0,4.0
YBR191W,21863.0,11022.0
YMR164C,340.0,145.0
YBR043C,1041.0,679.0
YHR005C-A,2054.0,743.0
YDR380W,915.0,417.0
YGL100W,32286.0,799.0
YBR094W,1766.0,604.0
YHR112C,1181.0,465.0
YNR007C,449.0,95.0
YDR035W,8266.0,857.0
YGL053W,213.0,87.0
YPL156C,296.0,243.0
YDR485C,1500.0,229.0
YGR077C,1420.0,383.0
YPL177C,1232.0,710.0
YOR216C,1759.0,316.0
YIL044C,1307.0,437.0
YPL239W,3652.0,483.0
YNL197C,1343.0,628.0
YPR183W,17862.0,1568.0
YLR069C,2137.0,521.0
YDL073W,1200.0,727.0
YPR133C,11309.0,729.0
YBL042C,14364.0,989.0
YEL017C-A,2135.0,844.0
YNL091W,2077.0,1006.0
YCR046C,1118.0,426.0
YLR059C,1688.0,432.0
YOL001W,187.0,151.0
YDR525W-A,1073.0,100.0
YIL056W,3894.0,325.0
YBR054W,2562.0,409.0
YDR507C,4042.0,852.0
YDR379C-A,56.0,30.0
YOL063C,1021.0,504.0
YPL224C,669.0,374.0
YLR137W,951.0,255.0
YEL007W,11851.0,1016.0
YLR020C,1302.0,649.0
YNL217W,1554.0,776.0
YKL204W,2082.0,484.0
YER067W,195.0,103.0
YDR040C,28.0,24.0
YMR226C,62234.0,1366.0
YOR058C,703.0,233.0
YKR007W,396.0,155.0
YDR531W,1023.0,704.0
YIL013C,348.0,259.0
YMR233W,226.0,125.0
YPL206C,4750.0,572.0
YOL136C,5741.0,283.0
YDL060W,3504.0,1103.0
YLR002C,3263.0,734.0
YOR303W,1807.0,1064.0
YDR320C-A,422.0,174.0
YOR071C,775.0,441.0
YDR393W,402.0,238.0
YBR293W,424.0,412.0
YIR022W,1913.0,499.0
YGL215W,1085.0,844.0
YNR052C,2093.0,765.0
YGR019W,896.0,581.0
YGL244W,5837.0,722.0
YHR032W,2694.0,840.0
YEL032W,5639.0,853.0
YOL076W,2935.0,786.0
