ORF,RNA_Prints
YHR055C,5852.5399853937
YPR161C,4854.79132838368
YOL138C,3529.15558085766
YDR395W,15860.4063487919
YGR129W,1642.34798932534
YPR165W,26929.6909261544
YPR098C,3045.01988400832
YPL015C,3796.54033513728
YCL050C,14424.0522192683
YAL069W,6.99144820626634
YMR193W,4173.08603060109
YLR031W,436.095336973225
YIL014C-A,718.21175174509
YGR053C,451.104379943786
YCR101C,461.011305722559
YER087C-B,8536.45510309346
YOR280C,2707.19036286962
YGR097W,4845.62930083825
YHR215W,3588.41873007257
YKL025C,3921.01655291342
YKR011C,2673.95034459495
YEL004W,1203.03002948382
YJL200C,13612.0879621867
YLL027W,4728.38587544052
YOR024W,14.9705552674733
YLR045C,6060.30413467755
YDR348C,5736.82645801238
YPL183C,11461.0087521536
YGR003W,3430.01150500423
YEL008C-A,90.6274629446731
YBL095W,3423.12311608846
YGL060W,3049.20915417242
YLL007C,1889.48113409433
YEL009C,52093.627419937
YOR083W,1647.57129011612
YEL015W,8372.27702903429
YDR329C,4203.49468714774
YBR252W,8534.20167368249
YDL202W,3498.86722920552
YHR209W,1389.84099397278
YPR008W,4356.76573517409
YER075C,3233.66749858608
YDL203C,3354.29229710444
YBR050C,372.976683316869
YMR197C,3989.3763077633
YDR261W-A,1965.97544523924
YBL049W,226.217288210223
YER054C,842.398229604787
YDR305C,3466.85601124307
YHL019W-A,112.130771407437
YNL201C,4837.60962238898
YHR180W-A,18444.5823411698
YCR061W,2870.53753952396
YBR206W,3460.66071645462
YPL171C,329.944104142536
YHR051W,9597.29393884729
YDL116W,7408.45527337913
YPR124W,12784.7035417127
YJL023C,2058.38889349988
YGL167C,12945.7585515821
YDL165W,4537.46052354779
YLR154C-H,1456.29435013195
YPL119C-A,145.67905903321
YIL143C,5585.3766730892
YBR292C,120.330620145885
YGR240C,64056.435512123
YOR094W,2914.44004946943
YDR167W,4729.15472346826
YBR063C,2407.80034699801
YER052C,11711.5269029024
YPR187W,14259.541114508
YPL118W,7201.62581329125
YGR178C,13176.4646180991
YPR086W,6958.5793507137
YOL141W,1698.76179177655
YJL065C,3126.82735097648
YBR122C,6369.95605691654
YHR095W,157.99392449415
YBR279W,6244.66738488061
YBR271W,3490.02838100738
YMR221C,4681.7517456549
YJL221C,504.871871747124
YDR241W,290.141388226468
YER130C,5131.40980569025
YBR155W,4453.6131842754
YDR363W,2407.79767430892
YPL147W,1531.19302391209
YLR443W,3711.68322721965
YGR266W,5456.62624129167
YBR067C,13885.915988463
YAL034C,1361.85249550034
YLR270W,3723.84788202537
YCR095C,4042.34964761875
YPR084W,2026.61560390252
YMR113W,3589.78982724828
YBR184W,890.273822443572
YGR035C,4076.4098575625
YDL222C,668.957567262827
YCL008C,2574.39588618423
YEL065W,11244.1089643568
YNL335W,78.0679588454856
YMR296C,9668.93958328176
YDR232W,10396.3364475199
YGR190C,96.1918109291985
YHR116W,1158.09954310093
YDR313C,1683.99956229625
YFR018C,3802.58276532985
YKL007W,7544.00700192355
YIL048W,5711.90697365925
YDL213C,7797.38986276871
YDR443C,3750.3954903875
YNL292W,4120.344464565
YKL183C-A,71.5867754703202
YOR324C,2798.61002983208
YNL134C,10356.3906162899
YKL100C,7257.25919350578
YOR192C-B,12121.5436867217
YPL021W,13.8456973679689
YIL146C,1365.53320656654
YLR299C-A,24.7288066172993
YNL218W,2232.31736569003
YIL121W,5254.7135594315
YNL228W,265.847808068589
YDL167C,7356.84261365318
YPL214C,3366.81231427442
YOR228C,1338.62062839903
YBR270C,1641.48361291174
YGR222W,3347.43133471282
YEL063C,5738.30393917304
YAL068W-A,4.9688606592589
YML020W,2228.19240058434
YGR121C,1812.2874056837
YDL095W,21426.4151216684
YBR222C,6432.24263522621
YDL003W,5566.64272763614
YOR323C,15584.1440565513
YMR183C,7669.16162788327
YOR274W,3653.87520716509
YER146W,8569.56797293652
YPL063W,9889.61930072949
YOL035C,121.868441128984
YML075C,16142.787263262
YLR273C,1116.89779582301
YDR457W,39238.4514295042
YLR434C,191.058576292666
YDR181C,2904.11122750012
YGL097W,9095.63007825955
YCL056C,2465.12796722712
YMR242W-A,19.5950228129662
YJL083W,1312.17471451615
YPL140C,2932.16171523573
YOR026W,3122.83396347339
YNR016C,141815.682871018
YER123W,3690.23552365048
YKR054C,21506.1580676216
YGR055W,13605.33792546
YMR315W,8316.33481322068
YKL202W,49.0109718823154
YAL024C,3669.76990509739
YKL187C,708.910872706284
YDR383C,2202.24160574187
YDR396W,559.294983376915
YKL055C,719.027929404662
YGR115C,225.017665697815
YDR035W,15297.9602737349
YBL062W,162.391254838911
YHR160C,90.5303297168384
YGR047C,4300.42695306784
YDR119W,13128.6885023665
YER151C,7431.22744548071
YBR208C,6069.80593997768
YLR070C,333.381369255155
YPR019W,6306.83825517643
YPR190C,6184.35781219495
YPL228W,3983.03727308516
YGR041W,3572.69458917011
YHR097C,2188.46510949904
YDR353W,24540.7126965295
YPL047W,2489.82544584722
YPL014W,2105.7632321916
YGR007W,6053.25051200443
YML116W,4435.8671808874
YOL137W,2895.50213319252
YGL155W,4815.43011535101
YKL214C,3155.3554641939
YER061C,2825.27022984786
YPL119C,468.739599701705
YDL125C,11939.3110495767
YKL011C,2391.21183080371
YHR186C,6109.31350416682
YLL019C,3253.30681777781
YNL257C,5915.16847752715
YJR092W,8676.47480399372
YGL199C,310.124419170448
YDR010C,20.8485122592085
YPL189C-A,3563.20541219528
YBR291C,3976.07165510807
YBL059W,1396.96070918536
YLR078C,4703.40891033317
YFL012W,41.7605915592726
YDR262W,4120.79399853923
YDR072C,7833.62002767487
YOR108C-A,153.262424038345
YKL153W,38415.2851145048
YDR179C,1305.95649664121
YGR220C,5080.55261503806
YIL053W,66312.8376008191
YMR161W,3450.40596790766
YER011W,2550.29941634132
YDR258C,7486.01214960616
YDR467C,199.34984041238
YGL162W,1461.83337195577
YNL243W,13894.7515487468
YBR234C,9996.85738725489
YNL047C,2662.73814712339
YKL038W,3960.02038128162
YFL053W,64.6245086247198
YOR200W,187.736237994374
YKR060W,3337.7893594841
YPR200C,277.680192654254
YLR411W,2449.40818811805
YLR318W,2248.76803589235
YHR150W,2460.6221302144
YGL219C,3525.75764181638
YFL009W,4798.84012511709
YBR045C,632.177968308308
YMR039C,5192.38697008602
YKL195W,10341.7303396538
YPR127W,3320.99471643837
YPL188W,3945.00899030405
YGL147C,114897.578031354
YDR217C,4576.02671981238
YML015C,2809.40614111188
YJR126C,5922.66689163856
YPR026W,2256.18153593919
YHR073W,8272.57323075835
YMR274C,1735.46352463495
YMR008C,6276.02890847938
YHR125W,3.55955133981677
YER119C-A,289.325048907739
YDL227C,6944.44694228135
YOR197W,10306.3355022242
YDR034C-C,2297.82103305696
YNL081C,3664.08879019659
YKL096W-A,96075.6041359539
YDR532C,2217.9023132418
YNL319W,100.107366085781
YDR049W,4005.74742522865
YBR113W,94.3944905352068
YKL170W,4123.94395308055
YJL043W,115.279155495236
YGL047W,2603.50201149839
YLR006C,3483.92505931538
YHR079C,3686.48686087834
YPR171W,3495.7466009909
YML063W,175030.433299732
YLR178C,2648.12052471779
YHL029C,3573.67786770509
YJL090C,2484.8806075251
YOR184W,22669.8910358431
YDR372C,11147.1724980854
YBR008C,2745.78809414179
YMR203W,12012.1403062222
YHR218W,1623.00883759294
YIR008C,4429.60658399046
YBL006W-A,126.126994987813
YBL024W,13491.7324504204
YOL166C,7.03595277441806
YDR317W,776.162285711688
YJL038C,77.2843841290233
YJL087C,3372.18889256546
YDR043C,3306.18574084536
YHR028C,8453.34312100745
YOR340C,9095.35385621968
YCL044C,1944.0450388191
YFR022W,1818.36966086321
YEL072W,1297.70200660077
YIR010W,3241.39918624802
YBL008W,2963.13434684164
YOL008W,1781.85196256069
YMR178W,5205.43559136225
YHR017W,3711.96559239505
YMR095C,621.279893964423
YKR101W,2275.03929094137
YHR198C,2684.94828607741
YOR076C,3440.3164047262
YNL219C,6405.49101321281
YGL015C,39.4562714352919
YLR210W,2839.32576044137
YIL034C,5714.66453175318
YLR148W,4961.49213975944
YOR342C,5434.96314597302
YOL070C,5124.09865418015
YLR124W,69.9798828020187
YIL043C,23364.574190155
YDL160C,7667.08768987515
YPR202W,293.412033615192
YGR231C,9662.42729118883
YNL021W,4253.95538700364
YMR266W,12336.1259494833
YGR034W,106142.351348489
YPL107W,1485.28976361187
YHR173C,77.2507729526391
YGR088W,2398.30492967017
YCR063W,929.926315973983
YHR073W-A,826.838772337675
YDL048C,1696.66451269456
YML092C,10706.8189504846
YPR097W,8136.19650136873
YBR201C-A,381.679901467831
YNL056W,4196.82801336948
YDL025C,3583.13414834989
YAL020C,2807.14487226589
YFL017C,4558.12558101031
YDL243C,796.639833622161
YGL197W,6745.68861516437
YLR256W-A,13819.374525642
YHR092C,5008.61524893838
