x,y
0,3.88E-01
1.8,3.87E-01
3.6,3.85E-01
5.4,3.82E-01
7.2,3.81E-01
9,3.78E-01
10.8,3.77E-01
12.6,3.75E-01
14.4,3.72E-01
16.2,3.71E-01
18,3.70E-01
19.8,3.69E-01
21.6,3.67E-01
23.4,3.67E-01
25.2,3.66E-01
27,3.65E-01
30.6,3.64E-01
32.4,3.63E-01
34.2,3.63E-01
36,3.63E-01
37.8,3.61E-01
39.6,3.61E-01
41.4,3.60E-01
43.2,3.59E-01
45,3.59E-01
46.8,3.58E-01
48.6,3.56E-01
50.4,3.55E-01
52.2,3.55E-01
54,3.53E-01
55.8,3.52E-01
57.6,3.52E-01
59.4,3.50E-01
61.2,3.49E-01
63,3.48E-01
64.8,3.48E-01
66.6,3.48E-01
68.4,3.48E-01
70.2,3.48E-01
72,3.48E-01
73.8,3.47E-01
75.6,3.47E-01
77.4,3.47E-01
79.2,3.47E-01
81,3.47E-01
82.8,3.48E-01
84.6,3.49E-01
86.4,3.50E-01
88.2,3.53E-01
90,3.55E-01
91.8,3.59E-01
93.6,3.61E-01
95.4,3.64E-01
97.2,3.65E-01
99,3.67E-01
100.8,3.69E-01
104.4,3.74E-01
106.2,3.76E-01
108,3.77E-01
109.8,3.77E-01
111.6,3.78E-01
113.4,3.80E-01
115.2,3.80E-01
117,3.81E-01
118.8,3.81E-01
120.6,3.81E-01
122.4,3.81E-01
124.2,3.82E-01
126,3.81E-01
127.8,3.81E-01
129.6,3.80E-01
131.4,3.78E-01
133.2,3.77E-01
135,3.76E-01
136.8,3.74E-01
138.6,3.72E-01
140.4,3.70E-01
142.2,3.69E-01
144,3.67E-01
145.8,3.65E-01
147.6,3.64E-01
149.4,3.63E-01
151.2,3.60E-01
153,3.60E-01
154.8,3.58E-01
156.6,3.56E-01
158.4,3.56E-01
160.2,3.56E-01
162,3.56E-01
163.8,3.56E-01
165.6,3.56E-01
167.4,3.58E-01
169.2,3.58E-01
171,3.59E-01
172.8,3.59E-01
174.6,3.60E-01
176.4,3.61E-01
180,3.65E-01
181.8,3.67E-01
183.6,3.72E-01
185.4,3.80E-01
187.2,3.86E-01
189,3.89E-01
190.8,3.97E-01
192.6,4.02E-01
194.4,4.08E-01
196.2,4.14E-01
