ORF,Ribo_Prints,RNA_Prints,length
NM_000016,246,74,2622
NM_000017,53,32,1947
NM_000018,219,110,2292
NM_000019,531,150,2134
NM_000021,128,9,6090
NM_000022,104,56,1532
NM_000024,13,5,2042
NM_000026,489,316,1563
NM_000027,50,21,2102
NM_000028,34,6,7449
NM_000029,1,0,2581
NM_000031,77,18,3183
NM_000033,77,17,3664
NM_000034,7027,1498,2390
NM_000036,1,0,2406
NM_000037,25,0,8292
NM_000038,79,40,10730
NM_000041,32,5,1215
NM_000044,5,2,10656
NM_000046,57,52,6071
NM_000047,2,0,2220
NM_000048,102,77,1936
NM_000050,277,169,1848
NM_000051,123,74,13147
NM_000052,49,15,8529
NM_000053,109,85,6641
NM_000054,1,0,1625
NM_000055,10,3,2447
NM_000056,58,24,1550
NM_000057,125,62,4555
NM_000059,97,22,11386
NM_000060,69,22,2071
NM_000062,15,0,1966
NM_000063,1,0,2852
NM_000064,6,7,5132
NM_000067,1717,451,1666
NM_000068,2,0,8636
NM_000070,3,4,3316
NM_000071,1120,678,2590
NM_000073,2,3,1311
NM_000075,1105,552,2002
NM_000076,67,9,1930
NM_000077,1688,465,1254
NM_000080,4,0,2460
NM_000081,29,14,13497
NM_000082,31,28,2044
NM_000083,4,0,3093
NM_000084,35,29,9505
NM_000085,5,0,2626
NM_000086,67,24,1877
NM_000087,6,0,2783
NM_000088,130,2,5927
NM_000089,2,0,5411
NM_000090,5,4,5490
NM_000091,6,1,8097
NM_000092,17,2,10341
NM_000093,88,24,8439
NM_000094,12,5,9169
NM_000095,4,3,2452
NM_000097,368,109,2709
NM_000098,229,69,3094
NM_000099,1156,360,886
NM_000100,533,155,940
NM_000101,784,217,723
NM_000104,19,22,5153
NM_000107,65,29,1848
NM_000108,324,143,3613
NM_000109,3,0,14069
NM_000112,116,106,8075
NM_000113,133,99,2106
NM_000115,33,1,4282
NM_000116,124,79,1926
NM_000117,701,194,1339
NM_000118,7,0,3201
NM_000120,320,40,1831
NM_000121,88,39,2441
NM_000122,45,29,2750
NM_000123,70,28,4085
NM_000124,32,27,8993
NM_000126,672,218,1354
NM_000127,146,38,3363
NM_000128,1,0,3278
NM_000129,1,0,3863
NM_000130,8,1,9179
NM_000132,6,6,9035
NM_000134,1,3,2249
NM_000135,367,196,5460
NM_000136,136,88,4592
NM_000137,201,75,1797
NM_000138,50,11,11695
NM_000139,3,2,3648
NM_000140,163,110,7260
NM_000141,14,11,4640
NM_000142,251,149,4287
NM_000143,483,117,1867
NM_000144,219,84,7168
NM_000146,757,744,871
NM_000147,97,60,2117
NM_000148,28,16,4246
NM_000150,7,5,3137
NM_000151,5,6,4161
NM_000152,709,40,3775
NM_000153,18,6,3883
NM_000154,425,175,1361
NM_000155,114,36,1405
NM_000156,279,131,1138
NM_000157,288,61,2324
NM_000158,90,29,3099
NM_000159,211,64,1883
NM_000161,88,46,2925
NM_000164,3,5,3289
NM_000165,264,69,3169
NM_000167,77,16,4472
NM_000168,149,18,8214
NM_000169,724,232,1418
NM_000170,96,50,3809
NM_000174,1,0,894
NM_000175,2157,672,4194
NM_000176,2,6,6784
NM_000177,15,4,2649
NM_000178,470,175,1900
NM_000179,427,163,4328
NM_000180,3,2,3623
NM_000181,216,95,2298
NM_000182,749,328,3037
NM_000183,374,119,2188
NM_000186,1,0,4127
NM_000188,427,85,3601
NM_000189,333,118,7093
NM_000190,225,160,1509
NM_000191,122,50,1608
NM_000193,3,1,2200
NM_000194,417,105,1415
NM_000195,105,35,3731
NM_000196,38,4,1882
NM_000197,1,0,1134
NM_000199,164,45,2768
NM_000201,1,1,3246
NM_000202,82,129,5852
NM_000203,31,2,2214
NM_000206,1,0,1534
NM_000208,145,49,9059
NM_000209,18,5,2573
NM_000210,96,2,5810
NM_000211,1,0,2957
NM_000212,7,1,4894
NM_000213,14,0,5919
NM_000214,39,6,5987
NM_000215,46,14,5434
NM_000218,19,6,3246
NM_000221,134,54,2415
NM_000222,52,39,5176
NM_000224,351,107,1467
NM_000227,41,16,5617
NM_000229,4,2,1354
NM_000230,1,3,3427
NM_000232,113,44,4279
NM_000234,423,76,3384
NM_000235,475,133,2763
NM_000236,2,0,1604
NM_000237,10,3,3747
NM_000238,13,14,4290
NM_000239,7,8,1516
NM_000240,19,12,5330
NM_000243,13,10,3499
NM_000244,65,21,2778
NM_000245,64,84,6622
NM_000246,9,0,4654
NM_000247,21,6,1394
NM_000248,2,6,4472
NM_000249,2,0,2662
NM_000250,1,0,3215
NM_000251,334,103,3209
NM_000252,52,6,3436
NM_000253,3,0,4095
NM_000254,672,230,10558
NM_000255,126,39,3886
NM_000256,1,1,4217
NM_000259,66,64,12225
NM_000260,3,0,7465
NM_000262,182,145,3726
NM_000263,253,74,2782
NM_000264,20,3,7943
NM_000266,4,0,2002
NM_000267,298,150,12362
NM_000268,24,29,6029
NM_000269,1014,449,811
NM_000270,321,187,2421
NM_000271,323,113,4814
NM_000272,13,18,2750
NM_000274,770,185,2092
NM_000275,12,2,3138
NM_000276,200,78,5154
NM_000277,1,0,2681
NM_000278,12,1,4057
NM_000280,6,5,6966
NM_000281,125,110,1010
NM_000282,42,9,2564
NM_000283,9,4,3403
NM_000284,646,141,3372
NM_000285,425,92,2010
NM_000286,22,11,2683
NM_000287,52,15,3498
NM_000288,78,25,1482
NM_000289,283,158,3224
NM_000290,4,0,857
NM_000291,2910,757,2423
NM_000292,126,46,5325
NM_000293,76,71,5491
NM_000294,243,148,5510
NM_000296,1040,329,14135
NM_000297,100,41,5079
NM_000299,2,0,5447
NM_000302,422,178,3031
NM_000303,58,52,2323
NM_000304,49,12,1861
NM_000305,62,22,1654
NM_000307,10,0,1507
NM_000308,391,121,2240
NM_000309,135,43,1707
NM_000310,525,125,2504
NM_000311,35,18,2740
NM_000313,59,26,3580
NM_000314,26,29,8702
NM_000316,2,2,2128
NM_000317,78,28,934
NM_000318,43,51,4379
NM_000319,167,56,3172
NM_000320,61,17,1653
NM_000321,208,31,4772
NM_000325,20,10,2314
NM_000327,9,2,1878
NM_000328,28,6,3072
NM_000332,97,33,10636
NM_000333,57,33,7225
NM_000334,9,5,7805
NM_000335,8,2,8501
NM_000336,2,0,2597
NM_000339,3,0,5567
NM_000340,1,0,3439
NM_000342,4,76,4953
NM_000343,3,0,5056
NM_000344,110,21,1624
NM_000345,73,31,3215
NM_000346,202,10,3934
NM_000347,44,4,6726
NM_000348,1,0,2445
NM_000349,2,6,2695
NM_000351,10,5,6377
NM_000352,8,1,4921
NM_000353,4,7,2757
NM_000354,1,0,1596
NM_000355,6,2,2072
NM_000356,408,70,4865
NM_000359,1,0,2777
NM_000361,1,0,4032
NM_000362,104,24,5486
NM_000363,33,11,841
NM_000365,5198,1853,1351
NM_000366,7,4,1288
NM_000367,32,65,3269
NM_000368,109,70,8616
NM_000373,179,96,6737
NM_000374,482,198,1408
NM_000375,90,99,1354
NM_000376,81,22,4653
NM_000377,4,0,1830
NM_000378,44,7,2966
NM_000380,45,4,1469
NM_000381,73,64,6463
NM_000382,217,84,3702
NM_000383,3,1,2299
NM_000384,3,0,14121
NM_000386,253,57,2537
NM_000387,85,42,1892
NM_000389,233,118,2159
NM_000390,67,27,5442
NM_000391,443,71,3533
NM_000392,1,0,5446
NM_000393,13,4,6930
NM_000394,2,0,1144
NM_000395,1,0,4846
NM_000396,2,0,1810
NM_000397,5,1,4318
NM_000398,811,203,2923
NM_000399,96,0,2979
NM_000400,296,65,2568
NM_000401,190,142,3455
NM_000402,562,92,2396
NM_000403,98,75,1631
NM_000404,342,139,2588
NM_000405,233,120,3688
NM_000407,55,9,958
NM_000408,113,42,5803
NM_000411,79,51,6019
NM_000413,14,11,2231
NM_000414,389,110,2685
NM_000415,4,6,1976
NM_000416,171,57,2120
NM_000417,1,0,3216
NM_000418,59,21,3689
NM_000419,45,10,3334
NM_000421,72,11,2140
NM_000422,5,0,1574
NM_000425,8,0,5132
NM_000426,8,0,9692
NM_000427,4,0,1229
NM_000428,8,5,8554
NM_000429,3,0,3404
NM_000430,271,123,5614
NM_000431,92,36,2077
NM_000432,1,0,829
NM_000434,221,124,2071
NM_000435,517,106,8071
NM_000436,151,56,3558
NM_000437,43,28,3581
NM_000438,2,1,1504
NM_000440,9,18,5642
NM_000441,6,9,4928
NM_000442,20,6,4453
NM_000443,3,0,3967
NM_000445,74,14,14804
NM_000447,157,73,2298
NM_000448,1,0,6580
NM_000449,170,199,3618
NM_000451,48,2,3757
NM_000453,19,27,3576
NM_000454,1537,431,965
NM_000455,449,218,3276
NM_000456,50,34,2462
NM_000462,215,78,5276
NM_000465,48,32,5506
NM_000466,88,65,4382
NM_000474,101,36,1666
NM_000475,3,0,1585
NM_000476,168,76,2266
NM_000478,22,0,2596
NM_000479,59,13,2018
NM_000482,1,0,1460
NM_000484,109,43,3633
NM_000485,1449,529,807
NM_000486,1,0,4179
NM_000487,129,41,4315
NM_000489,92,30,11220
NM_000491,1,0,1044
NM_000495,213,58,6507
NM_000496,5,0,763
NM_000497,1,0,3535
NM_000500,1,0,2123
NM_000501,1,0,3780
NM_000502,2,0,2717
NM_000503,12,12,4326
NM_000505,79,22,2051
NM_000511,24,15,3099
NM_000512,51,11,2363
NM_000513,1,0,1998
NM_000514,3,0,3810
NM_000516,964,144,1976
NM_000517,35,2,605
NM_000520,437,184,2437
NM_000521,285,110,1901
NM_000522,155,39,2514
NM_000523,218,170,2327
NM_000524,1,0,2245
NM_000525,57,30,3411
NM_000526,4,0,1636
NM_000527,195,70,5283
NM_000528,331,139,3224
NM_000530,8,9,1955
NM_000531,1,0,1647
NM_000532,440,169,1816
NM_000533,1,0,3058
NM_000534,86,8,3521
NM_000535,73,42,2836
NM_000538,48,22,2825
NM_000540,2,0,15391
NM_000543,46,13,2472
NM_000544,57,42,5679
NM_000545,1,0,3416
NM_000546,99,10,2591
NM_000548,501,140,5632
NM_000551,362,200,4560
NM_000553,67,19,5746
NM_000554,12,16,4466
NM_000555,3,1,9406
NM_000558,29,2,606
NM_000561,96,11,1185
NM_000565,13,10,5914
NM_000569,1,0,2308
NM_000572,4,3,1629
NM_000573,2,9,8616
NM_000574,91,11,2796
NM_000575,1,0,2928
NM_000578,2,2,3852
NM_000581,384,441,904
NM_000587,8,1,4013
NM_000593,69,27,2952
NM_000597,430,153,1429
NM_000598,1,0,2613
NM_000599,231,82,6239
NM_000603,1,0,4338
NM_000609,7,10,3549
NM_000611,40,26,7619
NM_000612,6,0,5170
NM_000613,1,0,1623
NM_000615,81,23,5961
NM_000617,20,7,4164
NM_000618,2,4,7321
NM_000620,9,13,12183
NM_000623,2,0,4197
NM_000625,18,4,4206
NM_000627,67,9,5292
NM_000628,65,49,1961
NM_000629,63,96,6094
NM_000633,11,10,6492
NM_000635,32,12,4112
NM_000636,312,66,1593
NM_000637,286,187,3160
NM_000641,6,10,2378
NM_000642,99,20,7371
NM_000643,48,7,7169
NM_000644,38,5,7109
NM_000645,34,13,7182
NM_000646,32,8,7182
NM_000651,4,4,9966
NM_000657,4,4,1206
NM_000660,193,13,2583
NM_000661,1102,1433,749
NM_000662,3,0,1805
NM_000663,18,12,5586
NM_000665,4,0,2255
NM_000666,79,37,1678
NM_000671,396,190,2651
NM_000674,12,0,2919
NM_000676,104,50,1885
NM_000677,1,0,2245
NM_000678,1,0,2666
NM_000679,1,0,2254
NM_000682,5,3,3362
NM_000683,50,43,1958
NM_000684,9,1,2862
NM_000685,14,0,2356
NM_000687,1714,905,2207
NM_000688,98,40,2452
NM_000689,1,0,2369
NM_000690,382,81,2060
NM_000691,1,3,1778
NM_000692,318,193,3070
NM_000693,9,15,3607
NM_000694,5,0,2836
NM_000695,1,0,2650
NM_000696,679,1501,2500
NM_000698,6,0,2561
NM_000699,2,0,1679
NM_000700,28,4,1536
NM_000701,2734,1031,3741
NM_000702,9,7,5457
NM_000704,1,0,3559
NM_000706,10,1,7831
NM_000709,265,109,1774
NM_000710,9,0,1301
NM_000712,155,53,1081
NM_000713,460,79,856
NM_000714,621,221,881
